id,name,main_category,goal,pledged,backers,launched_date,launched_year,launched_month,deadline_date,deadline_year,deadline_month,campaign_duration_days,pledged_per_backer,goal_achievement_pct,project_goal_size,project_status,goal_achievement_status
5971,"An American Apocalypse: The Reckoning",Comics,48000,376,7,2012-06-08,2012,June,2012-08-06,2012,August,59,53.71,0.78,"Extra Large",Failed,"Far Below Goal"
18520,"Grandma's are Life",Music,15000,62,4,2016-10-19,2016,October,2016-11-18,2016,November,30,15.5,0.41,Large,Failed,"Far Below Goal"
21371,"Water Powered Car",Technology,75000,120,4,2016-07-26,2016,July,2016-08-10,2016,August,15,30,0.16,"Extra Large",Failed,"Far Below Goal"
24380,"Puss N' Books: A relaxing cat cafe and bookstore.",Food,20000,776,18,2015-10-27,2015,October,2015-11-26,2015,November,30,43.11,3.88,"Extra Large",Failed,"Far Below Goal"
39036,"The Meat Candy Experience",Food,2500,3239,68,2016-05-17,2016,May,2016-07-01,2016,July,45,47.63,129.56,Small,Successful,"Exceeded Goal"
39409,"WHILE THE TREES SLEEP","Film & Video",10500,11545,66,2011-07-20,2011,July,2011-08-19,2011,August,30,174.92,109.95,Large,Successful,"Goal Achieved"
46588,"Orage: Interactive Lightning Experience at Burning Man 2015",Art,20000,21563,171,2015-07-15,2015,July,2015-08-08,2015,August,24,126.1,107.82,"Extra Large",Successful,"Goal Achieved"
50831,"The Gettysburg Story","Film & Video",25000,66237,505,2013-03-01,2013,March,2013-03-31,2013,March,30,131.16,264.95,"Extra Large",Successful,"Exceeded Goal"
52687,"Revenge of the Platypus",Music,1200,1201,25,2012-11-22,2012,November,2012-12-22,2012,December,30,48.04,100.08,"Extra Small",Successful,"Goal Achieved"
53154,"Swim (Feature Film)","Film & Video",3200,3230,38,2013-06-03,2013,June,2013-07-03,2013,July,30,85,100.94,Small,Successful,"Goal Achieved"
56833,"Abilities Rock",Art,10000,0,0,2015-11-17,2015,November,2015-12-17,2015,December,30,NULL,0,Large,Failed,"Far Below Goal"
75626,""Not In Vain"" - An Independent Feature War Film"","Film & Video",5000,135,3,2013-06-04,2013,June,2013-06-24,2013,June,20,45,2.7,Medium,Failed,"Far Below Goal"
92158,"WRITE YOUR NAME IN MATH HISTORY (Canceled)",Technology,100000,0,0,2015-05-07,2015,May,2015-07-06,2015,July,60,NULL,0,"Extra Large",Failed,"Far Below Goal"
106144,"Robert Cooper Music's New Album "Wayward Pines"""",Music,1800,15,1,2014-05-16,2014,May,2014-06-15,2014,June,30,15,0.83,"Extra Small",Failed,"Far Below Goal"
113230,REBIRTH,"Film & Video",15644,15779,44,2014-05-07,2014,May,2014-06-06,2014,June,30,358.61,100.86,Large,Successful,"Goal Achieved"
116600,"Sugar Plum Scrubs And More",Crafts,1000,0,0,2015-04-21,2015,April,2015-05-21,2015,May,30,NULL,0,"Extra Small",Failed,"Far Below Goal"
126581,"Educational Online Trading Card Game",Games,4000,20,2,2010-06-16,2010,June,2010-08-02,2010,August,47,10,0.5,Small,Failed,"Far Below Goal"
138119,STRUM,"Film & Video",20000,56,3,2012-05-11,2012,May,2012-06-08,2012,June,28,18.67,0.28,"Extra Large",Failed,"Far Below Goal"
160274,"Look of Luxury",Fashion,8632,64,2,2015-05-18,2015,May,2015-06-14,2015,June,27,32,0.74,Medium,Failed,"Far Below Goal"
182647,"'86 Mets: The Movie","Film & Video",50000,51816.86,340,2014-06-23,2014,June,2014-08-22,2014,August,60,152.4,103.63,"Extra Large",Successful,"Goal Achieved"
182943,"DUO Light",Technology,1100,2325.2,62,2014-09-16,2014,September,2014-10-16,2014,October,30,37.5,211.38,"Extra Small",Successful,"Exceeded Goal"
197154,"North Eugene High School Ukulele Orchestra's First Album!",Music,1450,1593.99,79,2013-01-11,2013,January,2013-02-10,2013,February,30,20.18,109.93,"Extra Small",Successful,"Goal Achieved"
206517,"Story Time From Space",Publishing,35000,5547,84,2014-05-07,2014,May,2014-07-06,2014,July,60,66.04,15.85,"Extra Large",Failed,"Far Below Goal"
223722,"Wine: The Card Game",Games,5000,809,42,2016-09-15,2016,September,2016-10-11,2016,October,26,19.26,16.18,Medium,Failed,"Far Below Goal"
237090,"GETTING OVER - One son's search to finally know his father.","Film & Video",6000,6535,100,2012-03-06,2012,March,2012-04-08,2012,April,33,65.35,108.92,Medium,Successful,"Goal Achieved"
246101,"The Launch of FlyeGrlRoyalty "The New Name In Fashion"""",Fashion,3500,0,0,2011-05-02,2011,May,2011-06-01,2011,June,30,NULL,0,Small,Failed,"Far Below Goal"
251057,"Hey, Remeber This?",Technology,9000,0,0,2015-06-12,2015,June,2015-08-01,2015,August,50,NULL,0,Medium,Failed,"Far Below Goal"
254501,"Reflections from the Mississippi River","Film & Video",125000,10350,11,2013-01-25,2013,January,2013-03-05,2013,March,39,940.91,8.28,"Extra Large",Failed,"Far Below Goal"
255356,"De'VIA Elders Reunion",Art,7500,958,15,2016-03-21,2016,March,2016-04-23,2016,April,33,63.87,12.77,Medium,Failed,"Far Below Goal"
260964,"Adaptive & Standards-based History from BirdBrain Education",Technology,30000,6752,91,2015-02-16,2015,February,2015-03-16,2015,March,28,74.2,22.51,"Extra Large",Failed,"Far Below Goal"
274865,"Pots On Wheels",Art,20000,25732,278,2014-11-04,2014,November,2014-12-02,2014,December,28,92.56,128.66,"Extra Large",Successful,"Exceeded Goal"
279511,"Nerf Gun Accessory Holder",Technology,8500,1958.01,74,2012-09-28,2012,September,2012-10-28,2012,October,30,26.46,23.04,Medium,Failed,"Far Below Goal"
282045,"PeriodiGod Poster",Design,700,60,2,2015-05-21,2015,May,2015-06-30,2015,June,40,30,8.57,"Extra Small",Failed,"Far Below Goal"
301434,"Help C.B. Farr make a documentary about becoming an artist",Art,20000,0,0,2013-06-05,2013,June,2013-07-05,2013,July,30,NULL,0,"Extra Large",Failed,"Far Below Goal"
304055,"Super Pet Derby",Games,9000,276,6,2014-11-17,2014,November,2015-01-01,2015,January,45,46,3.07,Medium,Failed,"Far Below Goal"
305052,"Flatline Professional Wrestling presents: Retribution",Art,5000,0,0,2013-05-17,2013,May,2013-07-16,2013,July,60,NULL,0,Medium,Failed,"Far Below Goal"
312747,"Hunter's Island",Games,25000,2,2,2015-01-23,2015,January,2015-02-22,2015,February,30,1,0.01,"Extra Large",Failed,"Far Below Goal"
316217,"Dinner Party - a short film about friendship... and revenge","Film & Video",3500,3581.66,39,2011-06-01,2011,June,2011-06-22,2011,June,21,91.84,102.33,Small,Successful,"Goal Achieved"
316938,"Living With Superiocity",Publishing,2000,0,0,2015-08-26,2015,August,2015-09-25,2015,September,30,NULL,0,Small,Failed,"Far Below Goal"
325034,Mezzo,"Film & Video",1000,280,8,2012-01-19,2012,January,2012-02-18,2012,February,30,35,28,"Extra Small",Failed,"Far Below Goal"
326455,"Clutch Lead Holder",Design,5500,19300,402,2012-06-23,2012,June,2012-07-23,2012,July,30,48.01,350.91,Medium,Successful,"Exceeded Goal"
335107,"Fish Wing Foot for GoldWings and Valkyries",Technology,4750,115,2,2016-01-05,2016,January,2016-02-19,2016,February,45,57.5,2.42,Small,Failed,"Far Below Goal"
336169,"Leap Into The Blue // Photography Book",Photography,10000,11870,181,2012-07-19,2012,July,2012-08-18,2012,August,30,65.58,118.7,Large,Successful,"Exceeded Goal"
368661,"The first portable social networking website in the world",Technology,75000,10,1,2015-03-31,2015,March,2015-04-30,2015,April,30,10,0.01,"Extra Large",Failed,"Far Below Goal"
375531,"Papaya: Free Web Templates",Technology,3500,438,24,2013-11-20,2013,November,2013-12-20,2013,December,30,18.25,12.51,Small,Failed,"Far Below Goal"
375871,"Firework game",Games,10000,5,1,2015-08-29,2015,August,2015-09-28,2015,September,30,5,0.05,Large,Failed,"Far Below Goal"
377067,"The Cornfield Massacre","Film & Video",500,1,1,2012-10-14,2012,October,2012-11-02,2012,November,19,1,0.2,"Extra Small",Failed,"Far Below Goal"
388343,"The Yard movie","Film & Video",10000,100,5,2015-01-25,2015,January,2015-03-11,2015,March,45,20,1,Large,Failed,"Far Below Goal"
398115,"ChocolateGirl N the Corner",Publishing,2000,0,0,2013-08-06,2013,August,2013-09-05,2013,September,30,NULL,0,Small,Failed,"Far Below Goal"
403979,"Dough Loco",Food,7000,7606.22,75,2013-05-03,2013,May,2013-06-02,2013,June,30,101.42,108.66,Medium,Successful,"Goal Achieved"
407836,"Help APORTA continue to make handwoven/knit accessories",Fashion,2000,2180,46,2011-11-30,2011,November,2011-12-30,2011,December,30,47.39,109,Small,Successful,"Goal Achieved"
422684,"RS01 Integrated Reflective Shirt",Fashion,34000,4789,50,2016-11-29,2016,November,2017-01-06,2017,January,38,95.78,14.09,"Extra Large",Failed,"Far Below Goal"
436325,"Music - Comedy - Album!",Music,1000,1125,30,2010-02-09,2010,February,2010-04-18,2010,April,68,37.5,112.5,"Extra Small",Successful,"Exceeded Goal"
449369,"Austin's Adventure (Canceled)",Games,1250,0,0,2013-08-21,2013,August,2013-09-20,2013,September,30,NULL,0,"Extra Small",Failed,"Far Below Goal"
472063,"Brand New Mindless Self Indulgence Record!",Music,150000,225045.55,6927,2012-10-26,2012,October,2012-12-25,2012,December,60,32.49,150.03,"Extra Large",Successful,"Exceeded Goal"
493482,"Moi Glazky",Publishing,3000,0,0,2012-04-18,2012,April,2012-05-28,2012,May,40,NULL,0,Small,Failed,"Far Below Goal"
503363,"k6easy - Confidence in Reading and Mastered Math Facts",Publishing,20000,1896,10,2015-06-01,2015,June,2015-07-01,2015,July,30,189.6,9.48,"Extra Large",Failed,"Far Below Goal"
504757,"Instantly FIND that PHOTO on your phone, no more scrolling!",Technology,20000,0,0,2014-10-20,2014,October,2014-11-19,2014,November,30,NULL,0,"Extra Large",Failed,"Far Below Goal"
514147,"getting my novel Awakening:Book One of the Lycan War publish",Publishing,2150,65,4,2014-07-01,2014,July,2014-07-31,2014,July,30,16.25,3.02,Small,Failed,"Far Below Goal"
532768,"We are the expression of art.",Fashion,10000,0,0,2014-04-30,2014,April,2014-05-30,2014,May,30,NULL,0,Large,Failed,"Far Below Goal"
534916,"Alice vs The World",Comics,605,101,7,2015-07-02,2015,July,2015-07-30,2015,July,28,14.43,16.69,"Extra Small",Failed,"Far Below Goal"
537659,"Moonstone Music Festival",Music,1000,0,0,2015-08-11,2015,August,2015-09-10,2015,September,30,NULL,0,"Extra Small",Failed,"Far Below Goal"
538104,"She-Brews Cafe",Food,5000,180,6,2016-11-18,2016,November,2016-12-28,2016,December,40,30,3.6,Medium,Failed,"Far Below Goal"
560661,"DJ Rafstar attends music production & mastering class abroad",Music,3500,0,0,2015-02-20,2015,February,2015-03-22,2015,March,30,NULL,0,Small,Failed,"Far Below Goal"
594099,"disabler (Canceled)",Technology,8000,0,0,2016-03-23,2016,March,2016-04-22,2016,April,30,NULL,0,Medium,Failed,"Far Below Goal"
600658,"Sonic Journey Through Iran",Technology,5000,8085.01,118,2014-07-27,2014,July,2014-08-29,2014,August,33,68.52,161.7,Medium,Successful,"Exceeded Goal"
606664,"Emily's Kitchen",Food,20000,9670,54,2014-11-07,2014,November,2014-11-29,2014,November,22,179.07,48.35,"Extra Large",Failed,"Far Below Goal"
610918,"The Apocalypse Calendar",Art,7500,9836.45,255,2011-09-26,2011,September,2011-11-01,2011,November,36,38.57,131.15,Medium,Successful,"Exceeded Goal"
613591,"Accutab Portable Pill Dispenser",Technology,18000,351,8,2015-09-09,2015,September,2015-10-09,2015,October,30,43.88,1.95,Large,Failed,"Far Below Goal"
618765,"Awning Project",Design,3500,1066,15,2014-09-10,2014,September,2014-10-11,2014,October,31,71.07,30.46,Small,Failed,"Far Below Goal"
